post_id,tweet,subject_keyword,sentiment
IPL300R_042,tbh honestly mi bowling was all over the place tdy seriously,MI,negative
IPL300R_197,"ngl  bro dc bowling without plan lag rhi thi, bas hope pe chal rha tha #cricket",DC,negative
IPL300R_109,"ngl bro KKR bowling without plan lag rhi thi, bas hope pe chal rha tha",KKR,negative
IPL300R_119,"dekho KKR ka match dekha, few good moments but result abhi open hai bas",KKR,neutral
IPL300R_034,"bhai MI finally playing like a proper champion side, maza aa gya imo",MI,positive
IPL300R_252,bhai gt fans ka BP badhane ka contract le rakha h kya dekhte hain,GT,negative
IPL300R_041,"bro fielding from mumbai was painful, easy catches drop kaise #cricket",MI,negative
IPL300R_007,"yaar credit where due, rcb bowling unit ne match bana diya seriously",RCB,positive
IPL300R_110,"not impressed with KKR, too many dot balls and panic shots #cricket??",KKR,negative
IPL300R_257,dekho gt batting collapse dekh ke mood off ho gya bas...,GT,negative
IPL300R_191,bhai ye dc ka death bowling problem kab solve hoga bhai fr,DC,negative
IPL300R_262,"yaar  titans bowling first half good thi, second half thoda loose",GT,neutral
IPL300R_089,ngl  yellow army ka top order stable hai but finishers ko chance chahiye kya scene hai!!,CSK,neutral
IPL300R_204,"ngl delhi batting decent thi, bowling ko thoda aur test milega #IPL",DC,neutral
IPL300R_027,"bhai for rcb, this was more like a learning match than disaster",RCB,neutral
IPL300R_286,dekho LSG ka captaincy call today was really poor imo dekhte hain,LSG,negative
IPL300R_226,"arre  bro punjab bowling without plan lag rhi thi, bas hope pe chal rha tha",PBKS,negative
IPL300R_105,KKR  fans deserve better than this random planning #IPL,KKR,negative
IPL300R_075,bhai  thala team fans deserve better than this random planning bas,CSK,negative
IPL300R_028,"arre rcb ke fans mixed feel karenge, positives bhi hain issues bhi seriously",RCB,neutral
IPL300R_292,"lucknow squad looks interesting, but abhi judgement jaldi hoga dekhte hain...",LSG,neutral
IPL300R_103,honestly honestly KKR bowling was all over the place today seriously,KKR,negative
IPL300R_236,ngl  PBKS team combo abhi settle hota hua lag rha hai lol,PBKS,neutral
IPL300R_283,dekho  lsg fans deserve better than this random planning imo??,LSG,negative
IPL300R_222,bhai  punjab fans deserve better than this random planning dekhte hain,PBKS,negative
IPL300R_147,"honestly orange army batting decent thi, bowling ko thoda aur test milega fr",SRH,neutral
IPL300R_017,ngl ee sala batting collapse dekh ke mood off ho gya #IPL,RCB,negative
IPL300R_047,arre MI fans ka BP badhane ka contract le rakha hai ky lol,MI,negative
IPL300R_239,"arre  pbks performance was okayish, kuch areas improve karne padenge seriously",PBKS,neutral
IPL300R_101,yaar  knights selection decisions are making no sense only dekhte hain...,KKR,negative
IPL300R_245,"bhai GT ka powerplay plan actually worked, gud thinking by team...",GT,positive
IPL300R_171,"not bad not great from rr, balanced type performance #IPL",RR,neutral
IPL300R_050,"yaar MI kya kar rhi hai yaar, same mistakes again and again dekhte hain",MI,negative
IPL300R_070,"tbh that finish from yellow army was too good, pressure me bhi calm #cricket",CSK,positive
IPL300R_180,"arre today rr tried some changes, dekhte hain kaam karta he ky #IPL",RR,neutral
IPL300R_159,"arre RR middle order ne aaj sambhal liya, vry mature batting #IPL",RR,positive
IPL300R_108,dekho kkr batting collapse dekh ke mood off ho gya dekhte hain,KKR,negative
IPL300R_232,"honestly not bad not great from PBKS, balanced type performance #IPL",PBKS,neutral
IPL300R_282,"bro lsg ky kar rhi hai yaar, same mistakes again and again dekhte hain",LSG,negative
IPL300R_184,"bhai  bhai DC looked hungry today, energy alag hi thi seriously",DC,positive
IPL300R_010,"honestly ngl RCB bowling looked sorted today, line length ekdum tight dekhte hain",RCB,positive
IPL300R_174,"yaar rr ka match dekha, few good moments but result abhi open hai seriously",RR,neutral
IPL300R_183,"dekho delhi ka powerplay plan actually worked, good thinking by team kya scene hai",DC,positive
IPL300R_259,ngl ye titans ka death bowling problem kab solve hoga bhai #cricket,GT,negative
IPL300R_244,"bro bhai titans looked hungry today, energy alag hi thi seriously",GT,positive
IPL300R_271,"honestly  aaj lucknow ne dil khush kar diya, proper team performance imo",LSG,positive
IPL300R_216,"honestly ngl pbks bowling looked sorted today, line length ekdum tight bas :)",PBKS,positive
IPL300R_156,"ngl  rajasthan ka powerplay plan actually worked, good thinking by team imo",RR,positive
IPL300R_084,"yaar  yellow army played safe tdy, risky approach nhi liya #IPL",CSK,neutral
IPL300R_104,bhai  KKR middle order fir se pressure me gayab ho gya fr,KKR,negative
IPL300R_256,"arre bro GT bowling without plan lag rhi thi, bas hope pe chal rha tha imo",GT,negative
IPL300R_170,dekho RR fans deserve better than this random planning fr,RR,negative
IPL300R_227,"arre PBKS ky kar rhi hai yaar, same mistakes again and again #IPL...",PBKS,negative
IPL300R_291,LSG team combo abhi settle hota hua lag rha h bas :),LSG,neutral
IPL300R_253,ngl GT selection decisions are making no sense only imo,GT,negative
IPL300R_129,"honestly aaj orange army ne dil khush kar diya, proper team performance seriously",SRH,positive
IPL300R_168,"arre RR kya kar rhi h yaar, same mistakes again and again seriously...",RR,negative
IPL300R_175,tbh rr ka net run rate angle ab important ho sakta he lol,RR,neutral
IPL300R_045,dekho mi fans deserve better than this random planning...,MI,negative
IPL300R_220,"dekho pbks ke youngsters mast khel rhe hain, future bright lag rha dekhte hain",PBKS,positive
IPL300R_058,"bro MI batting decent thi, bowling ko thoda aur test milega #cricket",MI,neutral
IPL300R_250,"tbh GT finally playing like a proper champion side, maza aa gya #cricket??",GT,positive
IPL300R_015,"not impressed with ee sala, too many dot balls and panic shots #IPL",RCB,negative
IPL300R_006,"bro bhai red army looked hungry today, energy alag hi thi fr!!",RCB,positive
IPL300R_099,"tbh  kkr batting today was full paisa vasool, kya intent dikhaya boss bas",KKR,positive
IPL300R_043,honestly mumbai batting collapse dekh ke mood off ho gya #cricket,MI,negative
IPL300R_200,yaar  delhi middle order fir se pressure me gayab ho gya #cricket,DC,negative
IPL300R_064,"ngl today thala team fans can sleep peacefully lol, solid win bas",CSK,positive
IPL300R_094,"honestly KKR ka powerplay plan actually worked, good thinking by team ky scene hai!!",KKR,positive
IPL300R_022,"ngl red army ne start okay kiya, ab middle overs decide karenge imo",RCB,neutral
IPL300R_113,"KKR performance was okayish, kuch areas improve karne padenge #cricket!!",KKR,neutral
IPL300R_008,"bro that finish from rcb was too good, pressure me bhi calm bas",RCB,positive
IPL300R_061,"credit where due, CSK bowling unit ne match bana diya #IPL :)",CSK,positive
IPL300R_115,"tbh knights squad looks interesting, but abhi judgement jaldi hoga bas...",KKR,neutral
IPL300R_208,arre  DC ka top order stable hai but finishers ko chance chahiye bas??,DC,neutral
IPL300R_211,"bhai punjab ka powerplay plan actually worked, good thinking by team #IPL",PBKS,positive
IPL300R_125,"honestly orange army finally playing like a proper champion side, maza aa gya lol",SRH,positive
IPL300R_273,"lsg  fielding was sharp yaar, catches bhi mast pakde #cricket!!",LSG,positive
IPL300R_231,honestly  punjab ke liye next match more important hoga honestly imo,PBKS,neutral
IPL300R_088,"yaar CSK ke fans mixed feel karenge, positives bhi hain issues bhi seriously",CSK,neutral
IPL300R_134,"SRH kya kar rhi hai yaar, same mistakes again and again fr",SRH,negative
IPL300R_293,"lucknow batting decent thi, bowling ko thoda aur test milega dekhte hain!!",LSG,neutral
IPL300R_278,"bhai lsg middle order ne aaj sambhal liya, vry mature batting kya scene he!!",LSG,positive
IPL300R_272,"bro  lucknow showing proper comeback spirit, respect lol",LSG,positive
IPL300R_163,dekho honestly rr bowling was all over the place today lol,RR,negative
IPL300R_052,"bhai mumbai ka match dekha, few good moments but result abhi open hai fr",MI,neutral
IPL300R_161,"dekho rr looked totally confused today, no clear intent bas",RR,negative
IPL300R_228,dekho punjab middle order fir se pressure me gayab ho gya kya scene hai,PBKS,negative
IPL300R_287,"yaar fielding from lucknow was painful, easy catches drop kaise fr :)",LSG,negative
IPL300R_251,"bro gt kya kar rhi hai yaar, same mistakes again and again bas",GT,negative
IPL300R_046,ngl ye mi ka death bowling problem kab solve hoga bhai dekhte hain,MI,negative
IPL300R_033,"honestly  mi batting today was full paisa vasool, kya intent dikhaya boss #cricket",MI,positive
IPL300R_162,bro aaj RR ne winning position se match gift kar diya kya scene hai!!,RR,negative
IPL300R_127,"tbh  bhai srh looked hungry today, energy alag hi thi fr :)",SRH,positive
IPL300R_274,honestly LSG fans ke liye aaj ka match pure vibes tha #IPL...,LSG,positive
IPL300R_209,"arre dc played safe today, risky approach nhi liya #cricket",DC,neutral
IPL300R_158,"bhai that finish from RR was too good, pressure me bhi calm bas",RR,positive
IPL300R_111,honestly  knights team combo abhi settle hota hua lag rha hai bas,KKR,neutral
IPL300R_148,"yaar today srh tried some changes, dekhte hain kaam karta h ky bas",SRH,neutral
IPL300R_234,"arre PBKS played safe today, risky approach nhi liya lol...",PBKS,neutral
IPL300R_299,dekho lsg ka net run rate angle ab important ho sakta he lol :),LSG,neutral
IPL300R_187,honestly  dc fans ke liye aaj ka match pure vibes tha #cricket!!,DC,positive
IPL300R_157,"bro  bhai rajasthan looked hungry today, energy alag hi thi bas",RR,positive
IPL300R_295,tbh lucknow ka top order stable hai but finishers ko chance chahiye kya scene hai,LSG,neutral
IPL300R_065,"bro yellow army fielding was sharp yaar, catches bhi mast pakde #cricket :)",CSK,positive
IPL300R_294,honestly lsg ke liye next match more important hoga honestly...,LSG,neutral
IPL300R_037,"bhai mi ka powerplay plan actually worked, good thinking by team #IPL??",MI,positive
IPL300R_242,"dekho  credit where due, gt bowling unit ne match bana diya fr",GT,positive
IPL300R_265,yaar GT ka top order stable hai but finishers ko chance chahiye dekhte hain,GT,neutral
IPL300R_188,"bhai DC showing proper comeback spirit, respect #cricket :)",DC,positive
IPL300R_068,ngl thala team fans ke liye aaj ka match pure vibes tha bas :),CSK,positive
IPL300R_153,"ngl  ngl rr bowling looked sorted today, line length ekdum tight seriously",RR,positive
IPL300R_176,dekho rajasthan team combo abhi settle hota hua lag rha hai #IPL,RR,neutral
IPL300R_202,"ngl DC performance was okayish, kuch areas improve karne padenge dekhte hain",DC,neutral
IPL300R_071,yaar CSK middle order fir se pressure me gayab ho gya seriously??,CSK,negative
IPL300R_233,"dekho for PBKS, this was more like a learning match than disaster #IPL",PBKS,neutral
IPL300R_001,"bro rcb batting today was full paisa vasool, kya intent dikhaya boss imo :)",RCB,positive
IPL300R_133,bro SRH fans deserve better than this random planning,SRH,negative
IPL300R_160,"bhai RR showing proper comeback spirit, respect #cricket :)",RR,positive
IPL300R_270,"gt squad looks interesting, but abhi judgement jaldi hoga seriously :)",GT,neutral
IPL300R_199,honestly delhi ka captaincy call today was really poor imo :),DC,negative
IPL300R_131,bro SRH selection decisions are making no sense only dekhte hain,SRH,negative
IPL300R_268,"yaar GT ne start okay kiya, ab middle overs decide karenge seriously??",GT,neutral
IPL300R_185,"bhai credit where due, DC bowling unit ne match bana diya fr",DC,positive
IPL300R_215,bhai pbks fans ke liye aaj ka match pure vibes tha kya scene hai,PBKS,positive
IPL300R_182,"arre delhi finally playing like a proper champion side, maza aa gya bas",DC,positive
IPL300R_080,"yaar thala team looked totally confused today, no clear intent #IPL??",CSK,negative
IPL300R_276,"bhai  LSG batting today was full paisa vasool, kya intent dikhaya boss fr",LSG,positive
IPL300R_096,"yaar knights middle order ne aaj sambhal liya, very mature batting #cricket",KKR,positive
IPL300R_117,"ngl today KKR tried some changes, dekhte hain kaam karta h kya seriously",KKR,neutral
IPL300R_130,"bro  SRH ne aaj basics sahi kiye, no faltu panic #cricket",SRH,positive
IPL300R_218,"bro PBKS ne aaj basics sahi kiye, no faltu panic #cricket",PBKS,positive
IPL300R_003,"honestly red army fielding was sharp yaar, catches bhi mast pakde fr",RCB,positive
IPL300R_039,"ngl credit where due, mi bowling unit ne match bana diya seriously...",MI,positive
IPL300R_018,arre ye RCB ka death bowling problem kab solve hoga bhai #cricket,RCB,negative
IPL300R_060,tbh mi ka net run rate angle ab important ho sakta he fr,MI,neutral
IPL300R_169,rajasthan batting collapse dekh ke mood off ho gya #IPL :),RR,negative
IPL300R_178,"rr ke fans mixed feel karenge, positives bhi hain issues bhi ky scene hai!!",RR,neutral
IPL300R_002,"yaar rcb finally playing like a proper champion side, maza aa gya imo...",RCB,positive
IPL300R_013,"tbh very average show from red army, energy hi nhi thi kya scene hai...",RCB,negative
IPL300R_020,"yaar ee sala kya kar rhi h yaar, same mistakes again and again fr",RCB,negative
IPL300R_009,"bhai aaj RCB ne dil khush kar diya, proper team performance fr",RCB,positive
IPL300R_135,"dekho bro srh bowling without plan lag rhi thi, bas hope pe chal rha tha imo",SRH,negative
IPL300R_016,"dekho bro ee sala bowling without plan lag rhi thi, bas hope pe chal rha tha #IPL!!",RCB,negative
IPL300R_139,"ngl not impressed with SRH, too many dot balls and panic shots seriously",SRH,negative
IPL300R_048,"bhai bro MI bowling without plan lag rhi thi, bas hope pe chal rha tha dekhte hain",MI,negative
IPL300R_260,GT middle order fir se pressure me gayab ho gya kya scene hai,GT,negative
IPL300R_140,dekho SRH fans ka BP badhane ka contract le rakha hai kya #IPL,SRH,negative
IPL300R_036,"arre that finish from MI was too good, pressure me bhi calm seriously",MI,positive
IPL300R_152,"arre  RR ke youngsters mast khel rhe hain, future bright lag rha fr",RR,positive
IPL300R_091,"yaar today kkr fans can sleep peacefully lol, solid win seriously",KKR,positive
IPL300R_044,"arre vry average show from mi, energy hi nhi thi #cricket...",MI,negative
IPL300R_118,"honestly  kkr ke fans mixed feel karenge, positives bhi hain issues bhi kya scene hai",KKR,neutral
IPL300R_203,"bro not bad not great from delhi, balanced type performance",DC,neutral
IPL300R_300,"yaar  lucknow ne start okay kiya, ab middle overs decide karenge #IPL!!",LSG,neutral
IPL300R_255,arre honestly titans bowling was all over the place today #IPL,GT,negative
IPL300R_087,"honestly thala team ne start okay kiya, ab middle overs decide karenge bas??",CSK,neutral
IPL300R_279,"honestly  ngl LSG bowling looked sorted today, line length ekdum tight seriously",LSG,positive
IPL300R_221,arre ye PBKS ka death bowling problem kab solve hoga bhai bas,PBKS,negative
IPL300R_205,ngl  DC ka net run rate angle ab important ho sakta hai lol,DC,neutral
IPL300R_146,ngl orange army ka top order stable hai but finishers ko chance chahiye dekhte hain,SRH,neutral
IPL300R_223,"bro not impressed with pbks, too many dot balls and panic shots ky scene hai",PBKS,negative
IPL300R_059,"yaar  mi played safe today, risky approach nhi liya seriously :)",MI,neutral
IPL300R_246,"dekho  today GT fans can sleep peacefully lol, solid win ky scene hai!!",GT,positive
IPL300R_051,"ngl  for paltan, this was more like a learning match than disaster kya scene h",MI,neutral
IPL300R_040,"ngl mumbai showing proper comeback spirit, respect lol",MI,positive
IPL300R_076,"bhai fielding from yellow army was painful, easy catches drop kaise",CSK,negative
IPL300R_275,"honestly credit where due, LSG bowling unit ne match bana diya bas",LSG,positive
IPL300R_290,yaar aaj lsg ne winning position se match gift kar diya fr,LSG,negative
IPL300R_150,"for orange army, this was more like a learning match than disaster...",SRH,neutral
IPL300R_198,tbh  delhi batting collapse dekh ke mood off ho gya lol,DC,negative
IPL300R_189,"arre DC middle order ne aaj sambhal liya, very mature batting ky scene hai??",DC,positive
IPL300R_005,"dekho today ee sala fans can sleep peacefully lol, solid win fr",RCB,positive
IPL300R_038,"yaar mi ne aaj basics sahi kiye, no faltu panic ky scene hai",MI,positive
IPL300R_057,dekho paltan team combo abhi settle hota hua lag rha hai bas,MI,neutral
IPL300R_145,bhai  SRH ka net run rate angle ab important ho sakta he #IPL,SRH,neutral
IPL300R_012,"honestly red army looked totally confused today, no clear intent lol",RCB,negative
IPL300R_106,"bro knights kya kar rhi hai yaar, same mistakes again and again fr",KKR,negative
IPL300R_081,csk team combo abhi settle hota hua lag rha hai kya scene he,CSK,neutral
IPL300R_240,"bhai  punjab squad looks interesting, but abhi judgement jaldi hoga seriously",PBKS,neutral
IPL300R_201,yaar DC ke liye next match more important hoga honestly kya scene hai,DC,neutral
IPL300R_082,"tbh thala team batting decent thi, bowling ko thoda aur test milega kya scene hai",CSK,neutral
IPL300R_121,"bhai  tdy SRH fans can sleep peacefully lol, solid win bas...",SRH,positive
IPL300R_026,"bhai red army batting decent thi, bowling ko thoda aur test milega dekhte hain",RCB,neutral
IPL300R_207,"dekho  for delhi, this was more like a learning match than disaster lol",DC,neutral
IPL300R_128,"yaar credit where due, orange army bowling unit ne match bana diya bas :)",SRH,positive
IPL300R_132,"tbh  fielding from SRH was painful, easy catches drop kaise bas",SRH,negative
IPL300R_093,"honestly credit where due, kkr bowling unit ne match bana diya #IPL",KKR,positive
IPL300R_067,"arre  ngl csk bowling looked sorted today, line length ekdum tight imo :)",CSK,positive
IPL300R_079,bro csk batting collapse dekh ke mood off ho gya #IPL,CSK,negative
IPL300R_092,"aaj kkr ne dil khush kar diya, proper team performance",KKR,positive
IPL300R_167,"not impressed with rajasthan, too many dot balls and panic shots fr",RR,negative
IPL300R_137,arre ye SRH ka death bowling problem kab solve hoga bhai #IPL,SRH,negative
IPL300R_289,"arre not impressed with lucknow, too many dot balls and panic shots lol",LSG,negative
IPL300R_098,"bro  kkr fielding was sharp yaar, catches bhi mast pakde #IPL!!",KKR,positive
IPL300R_073,thala team selection decisions are making no sense only #IPL :),CSK,negative
IPL300R_083,"ngl yellow army bowling first half good thi, second half thoda loose bas",CSK,neutral
IPL300R_142,"dekho orange army ke fans mixed feel karenge, positives bhi hain issues bhi #IPL",SRH,neutral
IPL300R_062,"yaar bhai csk looked hungry today, energy alag hi thi #IPL",CSK,positive
IPL300R_102,arre KKR fans ka BP badhane ka contract le rakha h kya #IPL,KKR,negative
IPL300R_247,"arre  GT fielding was sharp yaar, catches bhi mast pakde #IPL",GT,positive
IPL300R_181,"arre  tdy delhi fans can sleep peacefully lol, solid win imo",DC,positive
IPL300R_229,"bhai fielding from punjab was painful, easy catches drop kaise",PBKS,negative
IPL300R_179,"bhai rr performance was okayish, kuch areas improve karne padenge dekhte hain",RR,neutral
IPL300R_249,"arre gt ke youngsters mast khel rhe hain, future bright lag rha bas",GT,positive
IPL300R_241,"bro ngl GT bowling looked sorted today, line length ekdum tight fr...",GT,positive
IPL300R_194,"ngl very average show from delhi, energy hi nhi thi #IPL",DC,negative
IPL300R_192,tbh aaj DC ne winning position se match gift kar diya lol,DC,negative
IPL300R_031,"tbh aaj paltan ne dil khush kar diya, proper team performance #cricket",MI,positive
IPL300R_190,"bro that finish from dc was too good, pressure me bhi calm seriously",DC,positive
IPL300R_297,"tbh  lsg performance was okayish, kuch areas improve karne padenge #cricket",LSG,neutral
IPL300R_055,bro mumbai ka top order stable h but finishers ko chance chahiye #cricket,MI,neutral
IPL300R_004,"tbh RCB showing proper comeback spirit, respect kya scene hai!!",RCB,positive
IPL300R_078,"dekho bro thala team bowling without plan lag rhi thi, bas hope pe chal rha tha lol",CSK,negative
IPL300R_086,"yellow army performance was okayish, kuch areas improve karne padenge #cricket :)",CSK,neutral
IPL300R_054,"tbh today MI tried some changes, dekhte hain kaam karta hai kya #IPL??",MI,neutral
IPL300R_123,honestly  SRH fans ke liye aaj ka match pure vibes tha #cricket??,SRH,positive
IPL300R_056,"bro  MI bowling first half good thi, second half thoda loose dekhte hain",MI,neutral
IPL300R_144,"tbh  orange army squad looks interesting, but abhi judgement jaldi hoga #IPL",SRH,neutral
IPL300R_172,"honestly RR bowling first half good thi, second half thoda loose dekhte hain :)",RR,neutral
IPL300R_263,tbh  titans team combo abhi settle hota hua lag rha hai lol,GT,neutral
IPL300R_151,"bhai  rajasthan fielding was sharp yaar, catches bhi mast pakde #cricket...",RR,positive
IPL300R_195,arre DC fans deserve better than this random planning imo,DC,negative
IPL300R_298,"bro lsg ka match dekha, few good moments but result abhi open hai bas",LSG,neutral
IPL300R_235,"honestly pbks ne start okay kiya, ab middle overs decide karenge",PBKS,neutral
IPL300R_019,rcb middle order fir se pressure me gayab ho gya #IPL,RCB,negative
IPL300R_224,honestly PBKS batting collapse dekh ke mood off ho gya kya scene hai,PBKS,negative
IPL300R_011,"fielding from rcb was painful, easy catches drop kaise kya scene he",RCB,negative
IPL300R_230,"ngl vry average show from PBKS, energy hi nhi thi #IPL??",PBKS,negative
IPL300R_285,yaar LSG selection decisions are making no sense only imo,LSG,negative
IPL300R_173,"bro  for rajasthan, this was more like a learning match than disaster",RR,neutral
IPL300R_097,"bro that finish from knights was too good, pressure me bhi calm fr",KKR,positive
IPL300R_069,"thala team ne aaj basics sahi kiye, no faltu panic fr??",CSK,positive
IPL300R_014,bhai red army selection decisions are making no sense only dekhte hain,RCB,negative
IPL300R_049,dekho MI middle order fir se pressure me gayab ho gya seriously,MI,negative
IPL300R_213,"bhai credit where due, pbks bowling unit ne match bana diya #cricket!!",PBKS,positive
IPL300R_186,"delhi ke youngsters mast khel rhe hain, future bright lag rha bas",DC,positive
IPL300R_138,yaar SRH batting collapse dekh ke mood off ho gya lol,SRH,negative
IPL300R_024,"bhai  RCB ka match dekha, few good moments but result abhi open hai :)",RCB,neutral
IPL300R_264,"yaar titans batting decent thi, bowling ko thoda aur test milega",GT,neutral
IPL300R_217,"yaar aaj pbks ne dil khush kar diya, proper team performance",PBKS,positive
IPL300R_261,"titans played safe today, risky approach nhi liya fr",GT,neutral
IPL300R_237,honestly punjab ka top order stable hai but finishers ko chance chahiye #cricket,PBKS,neutral
IPL300R_021,"honestly  not bad not great from RCB, balanced type performance #cricket",RCB,neutral
IPL300R_166,ngl rr fans ka BP badhane ka contract le rakha h kya kya scene hai,RR,negative
IPL300R_085,"today thala team tried some changes, dekhte hain kaam karta hai kya bas",CSK,neutral
IPL300R_053,"yaar  mi ke fans mixed feel karenge, positives bhi hain issues bhi seriously",MI,neutral
IPL300R_066,"bro csk showing proper comeback spirit, respect imo",CSK,positive
IPL300R_063,"honestly yellow army ke youngsters mast khel rhe hain, future bright lag rha fr",CSK,positive
IPL300R_100,"honestly KKR showing proper comeback spirit, respect #IPL",KKR,positive
IPL300R_035,"MI middle order ne aaj sambhal liya, vry mature batting fr??",MI,positive
IPL300R_136,arre orange army ka captaincy call today was really poor imo #IPL,SRH,negative
IPL300R_143,ngl orange army ke liye next match more important hoga honestly kya scene hai,SRH,neutral
IPL300R_107,"honestly kkr looked totally confused today, no clear intent #IPL",KKR,negative
IPL300R_248,"yaar that finish from titans was too good, pressure me bhi calm lol",GT,positive
IPL300R_281,tbh  LSG fans ka BP badhane ka contract le rakha h kya #cricket??,LSG,negative
IPL300R_030,"tbh RCB played safe today, risky approach nhi liya",RCB,neutral
IPL300R_238,"bhai today pbks tried some changes, dekhte hain kaam karta hai kya bas!!",PBKS,neutral
IPL300R_284,"ngl lsg looked totally confused today, no clear intent seriously",LSG,negative
IPL300R_266,"arre titans ka match dekha, few gud moments but result abhi open hai #cricket",GT,neutral
IPL300R_116,"ngl KKR ne start okay kiya, ab middle overs decide karenge lol",KKR,neutral
IPL300R_124,"bhai srh showing proper comeback spirit, respect dekhte hain",SRH,positive
IPL300R_243,"bro gt batting today was full paisa vasool, kya intent dikhaya boss imo",GT,positive
IPL300R_095,"bro  ngl kkr bowling looked sorted today, line length ekdum tight #IPL",KKR,positive
IPL300R_193,"tbh not impressed with DC, too many dot balls and panic shots kya scene hai",DC,negative
IPL300R_280,"yaar LSG ke youngsters mast khel rhe hain, future bright lag rha lol",LSG,positive
IPL300R_077,CSK  fans ka BP badhane ka contract le rakha hai kya fr,CSK,negative
IPL300R_210,"bro  DC ne start okay kiya, ab middle overs decide karenge #IPL",DC,neutral
IPL300R_214,"honestly today PBKS fans can sleep peacefully lol, solid win",PBKS,positive
IPL300R_288,bhai  ye lucknow ka death bowling problem kab solve hoga bhai fr,LSG,negative
IPL300R_269,"honestly today GT tried some changes, dekhte hain kaam karta hai kya ky scene hai",GT,neutral
IPL300R_196,"arre  fielding from dc was painful, easy catches drop kaise lol",DC,negative
IPL300R_177,bhai RR ke liye next match more important hoga honestly kya scene hai,RR,neutral
IPL300R_025,"arre RCB performance was okayish, kuch areas improve karne padenge fr :)",RCB,neutral
IPL300R_254,"honestly not impressed with GT, too many dot balls and panic shots #cricket",GT,negative
IPL300R_219,"yaar PBKS batting today was full paisa vasool, kya intent dikhaya boss seriously",PBKS,positive
IPL300R_090,bro CSK ka net run rate angle ab important ho sakta hai fr,CSK,neutral
IPL300R_032,"MI fielding was sharp yaar, catches bhi mast pakde fr??",MI,positive
IPL300R_141,"ngl SRH played safe tdy, risky approach nhi liya kya scene hai",SRH,neutral
IPL300R_154,"dekho  rr batting today was full paisa vasool, ky intent dikhaya boss imo",RR,positive
IPL300R_212,"yaar bhai punjab looked hungry today, energy alag hi thi lol :)",PBKS,positive
IPL300R_114,"arre KKR batting decent thi, bowling ko thoda aur test milega bas",KKR,neutral
IPL300R_267,ngl gt ka net run rate angle ab important ho sakta hai kya scene hai,GT,neutral
IPL300R_074,"bro CSK ky kar rhi h yaar, same mistakes again and again dekhte hain",CSK,negative
IPL300R_155,"bhai rajasthan finally playing like a proper champion side, maza aa gya bas",RR,positive
IPL300R_122,"bro srh ka powerplay plan actually worked, good thinking by team kya scene h",SRH,positive
IPL300R_165,ngl  RR selection decisions are making no sense only imo,RR,negative
IPL300R_164,tbh ye RR ka death bowling problem kab solve hoga bhai,RR,negative
IPL300R_296,"ngl for lucknow, this was more like a learning match than disaster lol",LSG,neutral
IPL300R_149,"tbh SRH ka match dekha, few good moments but result abhi open hai seriously...",SRH,neutral
IPL300R_258,"dekho very average show from GT, energy hi nhi thi lol",GT,negative
IPL300R_072,arre thala team ka captaincy call today was really poor imo bas,CSK,negative
IPL300R_029,ngl rcb team combo abhi settle hota hua lag rha he #IPL,RCB,neutral
IPL300R_112,honestly KKR ka net run rate angle ab important ho sakta he #IPL...,KKR,neutral
IPL300R_277,"lsg ne aaj basics sahi kiye, no faltu panic dekhte hain??",LSG,positive
IPL300R_120,"honestly  not bad not great from knights, balanced type performance",KKR,neutral
IPL300R_225,aaj PBKS ne winning position se match gift kar diya #IPL,PBKS,negative
IPL300R_206,"tdy  DC tried some changes, dekhte hain kaam karta hai kya dekhte hain",DC,neutral
IPL300R_023,ngl  ee sala ka net run rate angle ab important ho sakta hai bas...,RCB,neutral
IPL300R_126,"srh ke youngsters mast khel rhe hain, future bright lag rha seriously",SRH,positive
